epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5213.59,0.90015,1.29514,0.75411,1.02685,0.56367,0.45578,0.50054,0.33971,0.57129,0.44592,0.47731,0.27886,0.90811,1.2415,0.73056,1.05944,0.0094258,0.0094258,0.0094258
31,5386.01,0.90393,1.28307,0.75127,1.02717,0.59739,0.45645,0.52614,0.35685,0.59386,0.44844,0.50684,0.29957,0.89723,1.23297,0.71822,1.05623,0.009406,0.009406,0.009406
32,5566.33,0.8956,1.27028,0.74151,1.02487,0.51659,0.50895,0.50006,0.33576,0.50129,0.49388,0.48453,0.28126,0.8998,1.2246,0.72047,1.05777,0.0093862,0.0093862,0.0093862
33,5740.23,0.89948,1.27858,0.74528,1.02296,0.56017,0.48327,0.49864,0.34189,0.5631,0.46508,0.48997,0.28803,0.89621,1.2201,0.70702,1.0574,0.0093664,0.0093664,0.0093664
34,5906.93,0.88769,1.27101,0.73478,1.02044,0.58956,0.47093,0.4891,0.3314,0.58511,0.46387,0.47949,0.27899,0.89491,1.22082,0.70492,1.05908,0.0093466,0.0093466,0.0093466
35,6078.26,0.89307,1.25512,0.73804,1.02066,0.58534,0.47478,0.50598,0.34222,0.57124,0.46156,0.48614,0.28393,0.89645,1.22331,0.70863,1.05627,0.0093268,0.0093268,0.0093268
36,6245.52,0.88348,1.25464,0.72099,1.01435,0.61014,0.44773,0.52203,0.35718,0.60216,0.43353,0.50543,0.29946,0.89078,1.21841,0.70187,1.05066,0.009307,0.009307,0.009307
37,6416.59,0.87637,1.24019,0.7146,1.01253,0.55885,0.49319,0.54158,0.3756,0.54163,0.47673,0.51795,0.31446,0.89107,1.20142,0.6968,1.05233,0.0092872,0.0092872,0.0092872
38,6584.01,0.87896,1.25707,0.71394,1.01248,0.57818,0.48878,0.52613,0.36357,0.61051,0.47729,0.51064,0.30505,0.88706,1.20092,0.68945,1.05106,0.0092674,0.0092674,0.0092674
39,6751.05,0.87348,1.24038,0.70974,1.01228,0.65101,0.44378,0.52263,0.355,0.6421,0.43682,0.50668,0.29868,0.89329,1.20183,0.69149,1.05685,0.0092476,0.0092476,0.0092476
40,6917.47,0.87076,1.23419,0.70798,1.00867,0.65456,0.47988,0.52797,0.36094,0.65054,0.46932,0.51351,0.30376,0.88939,1.2013,0.68582,1.05233,0.0092278,0.0092278,0.0092278
41,7088.68,0.86765,1.2293,0.69995,1.00614,0.52832,0.55279,0.53693,0.36334,0.52035,0.54405,0.52177,0.30577,0.88652,1.20843,0.68238,1.05209,0.009208,0.009208,0.009208
42,7255.89,0.86372,1.2208,0.69592,1.00576,0.58931,0.47672,0.52513,0.35347,0.57467,0.46344,0.50405,0.29168,0.88254,1.20196,0.67927,1.0478,0.0091882,0.0091882,0.0091882
43,7423.97,0.86544,1.21889,0.69137,1.00437,0.56137,0.46587,0.50198,0.34073,0.54935,0.45592,0.48691,0.27713,0.88336,1.20378,0.67222,1.04716,0.0091684,0.0091684,0.0091684
44,7593.25,0.86657,1.21229,0.6926,1.00737,0.55156,0.50885,0.51934,0.35658,0.54574,0.49976,0.50818,0.2908,0.88434,1.19851,0.67086,1.04963,0.0091486,0.0091486,0.0091486
45,7759.02,0.85952,1.20494,0.68263,1.00433,0.58104,0.48511,0.53814,0.36782,0.56024,0.47175,0.51874,0.3026,0.8777,1.19346,0.6685,1.0441,0.0091288,0.0091288,0.0091288
46,7924.69,0.85294,1.21132,0.67601,0.99916,0.61513,0.48101,0.54002,0.36362,0.59743,0.46314,0.52035,0.3042,0.87428,1.19493,0.66611,1.0435,0.009109,0.009109,0.009109
47,8090.72,0.85924,1.21297,0.6815,1.00612,0.65216,0.46679,0.56149,0.37999,0.65976,0.44957,0.54452,0.31615,0.87624,1.18847,0.66957,1.04435,0.0090892,0.0090892,0.0090892
48,8256.79,0.85964,1.21072,0.67342,1.00014,0.6181,0.49392,0.56531,0.38553,0.60755,0.48702,0.54898,0.31855,0.87736,1.19136,0.6671,1.04722,0.0090694,0.0090694,0.0090694
49,8423.79,0.85314,1.21159,0.66851,0.9969,0.58093,0.50074,0.56848,0.39327,0.56705,0.50383,0.55458,0.32661,0.8752,1.18396,0.66423,1.04575,0.0090496,0.0090496,0.0090496
50,8590.62,0.84696,1.19984,0.66354,0.9958,0.59628,0.48863,0.57951,0.40249,0.59328,0.46889,0.56141,0.3366,0.87539,1.18982,0.66059,1.04554,0.0090298,0.0090298,0.0090298
51,8756.84,0.84542,1.18937,0.66804,0.99717,0.66175,0.45949,0.57016,0.39224,0.6555,0.45349,0.55345,0.32797,0.87494,1.18599,0.65808,1.04606,0.00901,0.00901,0.00901
52,8924,0.84618,1.19829,0.66525,0.99174,0.54807,0.50499,0.54176,0.37593,0.5286,0.49465,0.52519,0.31591,0.87576,1.18819,0.65931,1.04565,0.0089902,0.0089902,0.0089902
53,9090.93,0.8464,1.19125,0.66377,0.9925,0.58368,0.50808,0.55753,0.38244,0.56278,0.49548,0.53546,0.32243,0.87513,1.18542,0.66205,1.04606,0.0089704,0.0089704,0.0089704
54,9257.18,0.85233,1.18924,0.65979,0.99704,0.56976,0.52391,0.55229,0.37163,0.55369,0.51114,0.52815,0.31574,0.87657,1.18525,0.65978,1.04748,0.0089506,0.0089506,0.0089506
55,9425.91,0.84027,1.19894,0.64798,0.98949,0.6078,0.49783,0.5495,0.37271,0.60462,0.47823,0.53194,0.3159,0.87592,1.18538,0.66113,1.04762,0.0089308,0.0089308,0.0089308
56,9595.31,0.83951,1.18659,0.64787,0.99387,0.60495,0.5159,0.5577,0.38231,0.60594,0.50082,0.5418,0.32515,0.87255,1.18573,0.65793,1.04559,0.008911,0.008911,0.008911
57,9761.3,0.8384,1.18301,0.64249,0.98896,0.60391,0.52024,0.55427,0.37897,0.59105,0.50607,0.53474,0.31889,0.87211,1.1824,0.65347,1.04662,0.0088912,0.0088912,0.0088912
58,9928.56,0.83757,1.17665,0.64032,0.98516,0.57362,0.50588,0.5543,0.38193,0.55906,0.50162,0.54544,0.32295,0.87391,1.18322,0.65533,1.04804,0.0088714,0.0088714,0.0088714
59,10097.7,0.83028,1.17707,0.63611,0.97939,0.61694,0.48963,0.56567,0.38701,0.60192,0.47869,0.55123,0.32982,0.87272,1.1819,0.65429,1.04627,0.0088516,0.0088516,0.0088516
60,10271.2,0.83037,1.17064,0.63368,0.98627,0.61388,0.48998,0.56783,0.39216,0.60269,0.47794,0.554,0.32926,0.87376,1.182,0.65168,1.04627,0.0088318,0.0088318,0.0088318
61,10437.2,0.83577,1.16991,0.63626,0.98579,0.61938,0.49468,0.5725,0.39531,0.60912,0.48802,0.55767,0.33411,0.87457,1.18402,0.65107,1.0467,0.008812,0.008812,0.008812
62,10605,0.83154,1.15473,0.63391,0.98599,0.59346,0.51489,0.58357,0.40483,0.58773,0.50825,0.57119,0.33861,0.87467,1.18409,0.64949,1.04725,0.0087922,0.0087922,0.0087922
63,10772.6,0.82118,1.14551,0.62719,0.98233,0.56386,0.52822,0.58532,0.40767,0.55959,0.52297,0.57417,0.34165,0.87467,1.18421,0.64708,1.04743,0.0087724,0.0087724,0.0087724
64,10940.2,0.8215,1.15973,0.62171,0.97768,0.56324,0.53845,0.56648,0.38857,0.55711,0.52977,0.55266,0.32798,0.87541,1.18429,0.64559,1.04833,0.0087526,0.0087526,0.0087526
65,11107.8,0.81205,1.14785,0.61632,0.97726,0.56761,0.52891,0.58531,0.40396,0.5887,0.51857,0.57211,0.34053,0.87519,1.18537,0.64421,1.04845,0.0087328,0.0087328,0.0087328
